SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,5.51
eastwwtpB,6/10/19,19.34
southwwtp,6/10/19,10.41
saxapahaw,6/10/19,7.34
canecreekA,6/10/19,1
canecreekB,6/10/19,13.22
canecreekC,6/10/19,12.15
canecreekD,6/10/19,13.99
haw.canecreekconfluence,6/10/19,4.98
bynum,6/10/19,5.52
haw.64overpass,6/10/19,5.5
jordan.64overpass,6/10/19,11.13
jordan.farringtonpoint,6/10/19,3.85
eastwwtpA,6/17/19,0.56
eastwwtpB,6/17/19,7.08
southwwtp,6/17/19,1.9
saxapahaw,6/17/19,1.7
canecreekA,6/17/19,0
canecreekB,6/17/19,0.23
canecreekC,6/17/19,0
canecreekD,6/17/19,0.06
haw.canecreekconfluence,6/17/19,1.32
bynum,6/17/19,1.49
haw.64overpass,6/17/19,1.55
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,0.08
eastwwtpA,6/24/19,1.22
eastwwtpB,6/24/19,1.54
southwwtp,6/24/19,1.45
saxapahaw,6/24/19,0.86
canecreekA,6/24/19,0.69
canecreekB,6/24/19,0.69
canecreekC,6/24/19,0.66
canecreekD,6/24/19,0.64
haw.canecreekconfluence,6/24/19,1.07
bynum,6/24/19,0.93
haw.64overpass,6/24/19,1.22
jordan.64overpass,6/24/19,0.79
jordan.farringtonpoint,6/24/19,0.7
eastwwtpA,7/1/19,10.78
eastwwtpB,7/1/19,9.4
southwwtp,7/1/19,2.2
saxapahaw,7/1/19,1.25
canecreekA,7/1/19,0.64
canecreekB,7/1/19,0.64
canecreekC,7/1/19,0.68
canecreekD,7/1/19,0.65
haw.canecreekconfluence,7/1/19,1.35
bynum,7/1/19,1.08
haw.64overpass,7/1/19,1.03
jordan.64overpass,7/1/19,0.91
jordan.farringtonpoint,7/1/19,0.65
