SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,0.08
eastwwtpB,6/10/19,0.1
southwwtp,6/10/19,0.06
saxapahaw,6/10/19,0.07
canecreekA,6/10/19,0.11
canecreekB,6/10/19,
canecreekC,6/10/19,0.07
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,0.09
bynum,6/10/19,0.08
haw.64overpass,6/10/19,0.07
jordan.64overpass,6/10/19,0.09
jordan.farringtonpoint,6/10/19,0.2
eastwwtpA,6/17/19,0.27
eastwwtpB,6/17/19,0.21
southwwtp,6/17/19,0
saxapahaw,6/17/19,0
canecreekA,6/17/19,0
canecreekB,6/17/19,0
canecreekC,6/17/19,0.32
canecreekD,6/17/19,0.23
haw.canecreekconfluence,6/17/19,0.21
bynum,6/17/19,0.23
haw.64overpass,6/17/19,0.26
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,0.27
eastwwtpA,6/24/19,0.49
eastwwtpB,6/24/19,0.55
southwwtp,6/24/19,0.56
saxapahaw,6/24/19,0.49
canecreekA,6/24/19,0.52
canecreekB,6/24/19,0.47
canecreekC,6/24/19,0.5
canecreekD,6/24/19,0.5
haw.canecreekconfluence,6/24/19,0.5
bynum,6/24/19,0.5
haw.64overpass,6/24/19,0.5
jordan.64overpass,6/24/19,0.58
jordan.farringtonpoint,6/24/19,0.56
eastwwtpA,7/1/19,0.59
eastwwtpB,7/1/19,0.59
southwwtp,7/1/19,0.53
saxapahaw,7/1/19,0.51
canecreekA,7/1/19,0.48
canecreekB,7/1/19,0.51
canecreekC,7/1/19,0.54
canecreekD,7/1/19,0.58
haw.canecreekconfluence,7/1/19,0.5
bynum,7/1/19,0.48
haw.64overpass,7/1/19,0.5
jordan.64overpass,7/1/19,0.59
jordan.farringtonpoint,7/1/19,0.54
