SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,3.62
eastwwtpB,6/10/19,9.89
southwwtp,6/10/19,5
saxapahaw,6/10/19,4.09
canecreekA,6/10/19,1.94
canecreekB,6/10/19,
canecreekC,6/10/19,7.72
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,4.32
bynum,6/10/19,4.57
haw.64overpass,6/10/19,4.65
jordan.64overpass,6/10/19,6.45
jordan.farringtonpoint,6/10/19,6.56
eastwwtpA,6/17/19,3.46
eastwwtpB,6/17/19,15.44
southwwtp,6/17/19,6.68
saxapahaw,6/17/19,5.21
canecreekA,6/17/19,1.73
canecreekB,6/17/19,5.22
canecreekC,6/17/19,5.46
canecreekD,6/17/19,7.44
haw.canecreekconfluence,6/17/19,4.67
bynum,6/17/19,4.68
haw.64overpass,6/17/19,4.61
jordan.64overpass,6/17/19,9.27
jordan.farringtonpoint,6/17/19,7.06
eastwwtpA,6/24/19,6.95
eastwwtpB,6/24/19,36.63
southwwtp,6/24/19,21.76
saxapahaw,6/24/19,13.37
canecreekA,6/24/19,1.79
canecreekB,6/24/19,5.22
canecreekC,6/24/19,7.12
canecreekD,6/24/19,7.71
haw.canecreekconfluence,6/24/19,11.92
bynum,6/24/19,12.13
haw.64overpass,6/24/19,12.93
jordan.64overpass,6/24/19,8.13
jordan.farringtonpoint,6/24/19,7.43
eastwwtpA,7/1/19,7.73
eastwwtpB,7/1/19,41.56
southwwtp,7/1/19,43.96
saxapahaw,7/1/19,26.98
canecreekA,7/1/19,1.57
canecreekB,7/1/19,5.23
canecreekC,7/1/19,6.55
canecreekD,7/1/19,13.49
haw.canecreekconfluence,7/1/19,37.78
bynum,7/1/19,29.59
haw.64overpass,7/1/19,29.47
jordan.64overpass,7/1/19,9.59
jordan.farringtonpoint,7/1/19,7.29
