SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,1.23
eastwwtpB,6/10/19,1.14
southwwtp,6/10/19,1.18
saxapahaw,6/10/19,1.13
canecreekA,6/10/19,0.33
canecreekB,6/10/19,
canecreekC,6/10/19,2.42
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,1.08
bynum,6/10/19,1.36
haw.64overpass,6/10/19,1.89
jordan.64overpass,6/10/19,1.17
jordan.farringtonpoint,6/10/19,1.24
eastwwtpA,6/17/19,2.52
eastwwtpB,6/17/19,2.15
southwwtp,6/17/19,4.4
saxapahaw,6/17/19,1.65
canecreekA,6/17/19,1.05
canecreekB,6/17/19,6.02
canecreekC,6/17/19,3.65
canecreekD,6/17/19,5.68
haw.canecreekconfluence,6/17/19,1.92
bynum,6/17/19,1.72
haw.64overpass,6/17/19,1.64
jordan.64overpass,6/17/19,
jordan.farringtonpoint,6/17/19,1.82
eastwwtpA,6/24/19,4.86
eastwwtpB,6/24/19,5.71
southwwtp,6/24/19,4.64
saxapahaw,6/24/19,2.95
canecreekA,6/24/19,1.17
canecreekB,6/24/19,4.59
canecreekC,6/24/19,4.63
canecreekD,6/24/19,5.16
haw.canecreekconfluence,6/24/19,2.81
bynum,6/24/19,3.51
haw.64overpass,6/24/19,3.22
jordan.64overpass,6/24/19,1.84
jordan.farringtonpoint,6/24/19,2.32
eastwwtpA,7/1/19,6.52
eastwwtpB,7/1/19,6.34
southwwtp,7/1/19,6.43
saxapahaw,7/1/19,6.99
canecreekA,7/1/19,2.69
canecreekB,7/1/19,5.18
canecreekC,7/1/19,4.36
canecreekD,7/1/19,7.22
haw.canecreekconfluence,7/1/19,7.04
bynum,7/1/19,9.27
haw.64overpass,7/1/19,8.16
jordan.64overpass,7/1/19,2.55
jordan.farringtonpoint,7/1/19,2.53
