SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,0.51
eastwwtpB,6/10/19,1.31
southwwtp,6/10/19,0.61
saxapahaw,6/10/19,0.51
canecreekA,6/10/19,0.16
canecreekB,6/10/19,
canecreekC,6/10/19,0.67
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,0.53
bynum,6/10/19,0.63
haw.64overpass,6/10/19,0.74
jordan.64overpass,6/10/19,0.62
jordan.farringtonpoint,6/10/19,1.22
eastwwtpA,6/17/19,0.31
eastwwtpB,6/17/19,2.08
southwwtp,6/17/19,0.83
saxapahaw,6/17/19,0.55
canecreekA,6/17/19,0.14
canecreekB,6/17/19,0.59
canecreekC,6/17/19,0.72
canecreekD,6/17/19,1.04
haw.canecreekconfluence,6/17/19,0.57
bynum,6/17/19,0.45
haw.64overpass,6/17/19,0.59
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,0.9
eastwwtpA,6/24/19,0.93
eastwwtpB,6/24/19,3.47
southwwtp,6/24/19,2.14
saxapahaw,6/24/19,1.37
canecreekA,6/24/19,0.42
canecreekB,6/24/19,0.67
canecreekC,6/24/19,1.15
canecreekD,6/24/19,1.22
haw.canecreekconfluence,6/24/19,1.18
bynum,6/24/19,1.15
haw.64overpass,6/24/19,1.11
jordan.64overpass,6/24/19,0.91
jordan.farringtonpoint,6/24/19,1.34
eastwwtpA,7/1/19,1.22
eastwwtpB,7/1/19,4.09
southwwtp,7/1/19,2.39
saxapahaw,7/1/19,2.16
canecreekA,7/1/19,0.47
canecreekB,7/1/19,0.68
canecreekC,7/1/19,1
canecreekD,7/1/19,1.27
haw.canecreekconfluence,7/1/19,2.02
bynum,7/1/19,1.39
haw.64overpass,7/1/19,1.58
jordan.64overpass,7/1/19,1.1
jordan.farringtonpoint,7/1/19,0.82
