SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,1.89
eastwwtpB,6/10/19,9.21
southwwtp,6/10/19,3.25
saxapahaw,6/10/19,2.73
canecreekA,6/10/19,0.75
canecreekB,6/10/19,
canecreekC,6/10/19,21.45
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,3.47
bynum,6/10/19,3.36
haw.64overpass,6/10/19,3.55
jordan.64overpass,6/10/19,7.08
jordan.farringtonpoint,6/10/19,2.54
eastwwtpA,6/17/19,3.12
eastwwtpB,6/17/19,13.48
southwwtp,6/17/19,6.84
saxapahaw,6/17/19,5.27
canecreekA,6/17/19,1.51
canecreekB,6/17/19,23.52
canecreekC,6/17/19,20.36
canecreekD,6/17/19,28.79
haw.canecreekconfluence,6/17/19,3.65
bynum,6/17/19,4.17
haw.64overpass,6/17/19,4.21
jordan.64overpass,6/17/19,12.26
jordan.farringtonpoint,6/17/19,2.57
eastwwtpA,6/24/19,4.84
eastwwtpB,6/24/19,53
southwwtp,6/24/19,32.5
saxapahaw,6/24/19,25.19
canecreekA,6/24/19,0.9
canecreekB,6/24/19,17.24
canecreekC,6/24/19,19.51
canecreekD,6/24/19,24.81
haw.canecreekconfluence,6/24/19,20.48
bynum,6/24/19,26.01
haw.64overpass,6/24/19,26.98
jordan.64overpass,6/24/19,6.48
jordan.farringtonpoint,6/24/19,2.57
eastwwtpA,7/1/19,7.67
eastwwtpB,7/1/19,64.67
southwwtp,7/1/19,51.5
saxapahaw,7/1/19,140.43
canecreekA,7/1/19,2.51
canecreekB,7/1/19,22.48
canecreekC,7/1/19,22.91
canecreekD,7/1/19,36.45
haw.canecreekconfluence,7/1/19,138.65
bynum,7/1/19,119.4
haw.64overpass,7/1/19,106.81
jordan.64overpass,7/1/19,9.8
jordan.farringtonpoint,7/1/19,3.55
