SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,3.93
eastwwtpB,6/10/19,19.34
southwwtp,6/10/19,6.33
saxapahaw,6/10/19,5.27
canecreekA,6/10/19,0.61
canecreekB,6/10/19,
canecreekC,6/10/19,25.62
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,5.84
bynum,6/10/19,6.41
haw.64overpass,6/10/19,6.93
jordan.64overpass,6/10/19,11.77
jordan.farringtonpoint,6/10/19,4.95
eastwwtpA,6/17/19,9.03
eastwwtpB,6/17/19,35.14
southwwtp,6/17/19,13.92
saxapahaw,6/17/19,9.8
canecreekA,6/17/19,0.88
canecreekB,6/17/19,24.13
canecreekC,6/17/19,23.05
canecreekD,6/17/19,30.98
haw.canecreekconfluence,6/17/19,9.17
bynum,6/17/19,9.64
haw.64overpass,6/17/19,9.54
jordan.64overpass,6/17/19,22.84
jordan.farringtonpoint,6/17/19,5.39
eastwwtpA,6/24/19,16.47
eastwwtpB,6/24/19,96.2
southwwtp,6/24/19,60.15
saxapahaw,6/24/19,35.13
canecreekA,6/24/19,1.06
canecreekB,6/24/19,22.82
canecreekC,6/24/19,23.18
canecreekD,6/24/19,26.21
haw.canecreekconfluence,6/24/19,29.86
bynum,6/24/19,34.27
haw.64overpass,6/24/19,41.46
jordan.64overpass,6/24/19,12.93
jordan.farringtonpoint,6/24/19,6.59
eastwwtpA,7/1/19,29.99
eastwwtpB,7/1/19,133.45
southwwtp,7/1/19,95.41
saxapahaw,7/1/19,186.02
canecreekA,7/1/19,2.28
canecreekB,7/1/19,26.63
canecreekC,7/1/19,26.68
canecreekD,7/1/19,33.6
haw.canecreekconfluence,7/1/19,177.97
bynum,7/1/19,142.2
haw.64overpass,7/1/19,127.52
jordan.64overpass,7/1/19,17.41
jordan.farringtonpoint,7/1/19,6.96
