SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,3.14
eastwwtpB,6/10/19,3.1
southwwtp,6/10/19,2.48
saxapahaw,6/10/19,2.21
canecreekA,6/10/19,0.26
canecreekB,6/10/19,
canecreekC,6/10/19,5.32
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,2.54
bynum,6/10/19,2.54
haw.64overpass,6/10/19,3.06
jordan.64overpass,6/10/19,1.73
jordan.farringtonpoint,6/10/19,1.15
eastwwtpA,6/17/19,3.23
eastwwtpB,6/17/19,4.16
southwwtp,6/17/19,3.57
saxapahaw,6/17/19,3.49
canecreekA,6/17/19,0.24
canecreekB,6/17/19,11.05
canecreekC,6/17/19,5.89
canecreekD,6/17/19,13.11
haw.canecreekconfluence,6/17/19,3.28
bynum,6/17/19,3.18
haw.64overpass,6/17/19,3.27
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,1.22
eastwwtpA,6/24/19,4.58
eastwwtpB,6/24/19,5.53
southwwtp,6/24/19,6.08
saxapahaw,6/24/19,3.44
canecreekA,6/24/19,0.69
canecreekB,6/24/19,8.9
canecreekC,6/24/19,6.39
canecreekD,6/24/19,10.66
haw.canecreekconfluence,6/24/19,4.01
bynum,6/24/19,4.09
haw.64overpass,6/24/19,4.17
jordan.64overpass,6/24/19,2.2
jordan.farringtonpoint,6/24/19,1.89
eastwwtpA,7/1/19,5.45
eastwwtpB,7/1/19,6.08
southwwtp,7/1/19,5.46
saxapahaw,7/1/19,5.49
canecreekA,7/1/19,1.37
canecreekB,7/1/19,7.39
canecreekC,7/1/19,6.64
canecreekD,7/1/19,17.21
haw.canecreekconfluence,7/1/19,6.09
bynum,7/1/19,5.98
haw.64overpass,7/1/19,5.2
jordan.64overpass,7/1/19,2.79
jordan.farringtonpoint,7/1/19,2.19
