SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,0.89
eastwwtpB,6/10/19,1.02
southwwtp,6/10/19,0.85
saxapahaw,6/10/19,0.77
canecreekA,6/10/19,0.32
canecreekB,6/10/19,
canecreekC,6/10/19,2.29
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,0.84
bynum,6/10/19,0.84
haw.64overpass,6/10/19,1.03
jordan.64overpass,6/10/19,0.73
jordan.farringtonpoint,6/10/19,0.78
eastwwtpA,6/17/19,0.67
eastwwtpB,6/17/19,1.5
southwwtp,6/17/19,0.91
saxapahaw,6/17/19,0.81
canecreekA,6/17/19,0.4
canecreekB,6/17/19,1.98
canecreekC,6/17/19,1.91
canecreekD,6/17/19,3.32
haw.canecreekconfluence,6/17/19,0.71
bynum,6/17/19,0.64
haw.64overpass,6/17/19,0.77
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,0.84
eastwwtpA,6/24/19,1.2
eastwwtpB,6/24/19,2.03
southwwtp,6/24/19,1.78
saxapahaw,6/24/19,1.65
canecreekA,6/24/19,0.62
canecreekB,6/24/19,1.86
canecreekC,6/24/19,2.46
canecreekD,6/24/19,3.05
haw.canecreekconfluence,6/24/19,1.35
bynum,6/24/19,1.47
haw.64overpass,6/24/19,1.64
jordan.64overpass,6/24/19,1.1
jordan.farringtonpoint,6/24/19,1.03
eastwwtpA,7/1/19,1.46
eastwwtpB,7/1/19,2.58
southwwtp,7/1/19,1.97
saxapahaw,7/1/19,1.98
canecreekA,7/1/19,0.51
canecreekB,7/1/19,1.79
canecreekC,7/1/19,2.29
canecreekD,7/1/19,3.6
haw.canecreekconfluence,7/1/19,2.06
bynum,7/1/19,1.66
haw.64overpass,7/1/19,1.95
jordan.64overpass,7/1/19,1.25
jordan.farringtonpoint,7/1/19,0.99
