SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,3.47
eastwwtpB,6/10/19,4.88
southwwtp,6/10/19,3.89
saxapahaw,6/10/19,3.97
canecreekA,6/10/19,1.47
canecreekB,6/10/19,
canecreekC,6/10/19,34.77
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,4.29
bynum,6/10/19,5.09
haw.64overpass,6/10/19,5.79
jordan.64overpass,6/10/19,5.22
jordan.farringtonpoint,6/10/19,3.75
eastwwtpA,6/17/19,3.8
eastwwtpB,6/17/19,7.87
southwwtp,6/17/19,5.19
saxapahaw,6/17/19,5.04
canecreekA,6/17/19,2.65
canecreekB,6/17/19,46.89
canecreekC,6/17/19,37.18
canecreekD,6/17/19,65.5
haw.canecreekconfluence,6/17/19,5.29
bynum,6/17/19,5.53
haw.64overpass,6/17/19,5.68
jordan.64overpass,6/17/19,6.76
jordan.farringtonpoint,6/17/19,4.27
eastwwtpA,6/24/19,5.89
eastwwtpB,6/24/19,13.78
southwwtp,6/24/19,11.19
saxapahaw,6/24/19,8.62
canecreekA,6/24/19,2.28
canecreekB,6/24/19,39.06
canecreekC,6/24/19,38.25
canecreekD,6/24/19,55.28
haw.canecreekconfluence,6/24/19,8.65
bynum,6/24/19,10.14
haw.64overpass,6/24/19,11.28
jordan.64overpass,6/24/19,5.47
jordan.farringtonpoint,6/24/19,4.46
eastwwtpA,7/1/19,9.81
eastwwtpB,7/1/19,17.05
southwwtp,7/1/19,14.24
saxapahaw,7/1/19,15.79
canecreekA,7/1/19,4.13
canecreekB,7/1/19,38.72
canecreekC,7/1/19,39.43
canecreekD,7/1/19,75.83
haw.canecreekconfluence,7/1/19,17.47
bynum,7/1/19,14.6
haw.64overpass,7/1/19,14.87
jordan.64overpass,7/1/19,6.5
jordan.farringtonpoint,7/1/19,4.4
