SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,9.58
eastwwtpB,6/10/19,9.68
southwwtp,6/10/19,9.38
saxapahaw,6/10/19,9.43
canecreekA,6/10/19,1.19
canecreekB,6/10/19,
canecreekC,6/10/19,33.86
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,9.47
bynum,6/10/19,9.13
haw.64overpass,6/10/19,11.85
jordan.64overpass,6/10/19,8.04
jordan.farringtonpoint,6/10/19,8.63
eastwwtpA,6/17/19,6.21
eastwwtpB,6/17/19,7.18
southwwtp,6/17/19,7.46
saxapahaw,6/17/19,6.65
canecreekA,6/17/19,1.29
canecreekB,6/17/19,32.14
canecreekC,6/17/19,20.6
canecreekD,6/17/19,31.68
haw.canecreekconfluence,6/17/19,7.23
bynum,6/17/19,6.34
haw.64overpass,6/17/19,8.36
jordan.64overpass,6/17/19,0
jordan.farringtonpoint,6/17/19,5.75
eastwwtpA,6/24/19,8.74
eastwwtpB,6/24/19,10.38
southwwtp,6/24/19,13.26
saxapahaw,6/24/19,12.13
canecreekA,6/24/19,1.45
canecreekB,6/24/19,30.05
canecreekC,6/24/19,20.36
canecreekD,6/24/19,28.24
haw.canecreekconfluence,6/24/19,9.93
bynum,6/24/19,9.81
haw.64overpass,6/24/19,11.86
jordan.64overpass,6/24/19,6.43
jordan.farringtonpoint,6/24/19,6.7
eastwwtpA,7/1/19,10.68
eastwwtpB,7/1/19,10.35
southwwtp,7/1/19,10.4
saxapahaw,7/1/19,20.28
canecreekA,7/1/19,1.19
canecreekB,7/1/19,27.42
canecreekC,7/1/19,20.75
canecreekD,7/1/19,38.19
haw.canecreekconfluence,7/1/19,15.52
bynum,7/1/19,10.01
haw.64overpass,7/1/19,13.05
jordan.64overpass,7/1/19,7.57
jordan.farringtonpoint,7/1/19,4.43
