SiteID,date,Concentration (ng/L)
eastwwtpA,6/10/19,2.7
eastwwtpB,6/10/19,14.33
southwwtp,6/10/19,4.61
saxapahaw,6/10/19,3.74
canecreekA,6/10/19,0.38
canecreekB,6/10/19,
canecreekC,6/10/19,16.77
canecreekD,6/10/19,
haw.canecreekconfluence,6/10/19,4.33
bynum,6/10/19,4.68
haw.64overpass,6/10/19,5.07
jordan.64overpass,6/10/19,7.83
jordan.farringtonpoint,6/10/19,3.93
eastwwtpA,6/17/19,5.51
eastwwtpB,6/17/19,19.34
southwwtp,6/17/19,10.41
saxapahaw,6/17/19,7.34
canecreekA,6/17/19,1
canecreekB,6/17/19,13.22
canecreekC,6/17/19,12.15
canecreekD,6/17/19,13.99
haw.canecreekconfluence,6/17/19,4.98
bynum,6/17/19,5.52
haw.64overpass,6/17/19,5.5
jordan.64overpass,6/17/19,11.13
jordan.farringtonpoint,6/17/19,3.85
eastwwtpA,6/24/19,9.42
eastwwtpB,6/24/19,56.33
southwwtp,6/24/19,32.63
saxapahaw,6/24/19,20.86
canecreekA,6/24/19,1.17
canecreekB,6/24/19,11.58
canecreekC,6/24/19,17.89
canecreekD,6/24/19,14.07
haw.canecreekconfluence,6/24/19,17.41
bynum,6/24/19,20.25
haw.64overpass,6/24/19,22.41
jordan.64overpass,6/24/19,8.18
jordan.farringtonpoint,6/24/19,5.03
eastwwtpA,7/1/19,15.12
eastwwtpB,7/1/19,71.9
southwwtp,7/1/19,51.38
saxapahaw,7/1/19,82.21
canecreekA,7/1/19,0.97
canecreekB,7/1/19,12.94
canecreekC,7/1/19,13.13
canecreekD,7/1/19,15.29
haw.canecreekconfluence,7/1/19,77.68
bynum,7/1/19,60.28
haw.64overpass,7/1/19,56.92
jordan.64overpass,7/1/19,8.68
jordan.farringtonpoint,7/1/19,4.48
