Date,Time,Sample.Location,Sample.ID,1L.PFAS,Temp,DO%,DO,SPC,pH
2019-06-10,10:32,eastwwtpA,EWWA0610,Y,23.0,87.8,7.54,149.4,6.16
2019-06-10,10:43,eastwwtpB,EWWB0610,Y,23.1,88.5,7.58,157.6,6.20
2019-06-10,11:02,southwwtp,SWW0610,Y,23.0,84.6,7.25,159.1,6.26
2019-06-10,11:25,saxapahaw,SAX0610,Y,23.7,80.2,6.79,163.3,6.35
2019-06-10,12:02,canecreekA,CCA0610,Y,22.2,62.6,5.45,112.1,6.11
2019-06-10,NA,canecreekB,CCB0610,N,NA,NA,NA,NA,NA
2019-06-10,12:29,canecreekC,CCC0610,Y,21.6,69.4,6.12,192.7,6.17
2019-06-10,NA,canecreekD,CCD0610,N,NA,NA,NA,NA,NA
2019-06-10,13:43,haw.canecreekconfluence,HCCC0610,Y,24.1,59.9,5.04,164.8,6.40
2019-06-10,14:25,bynum,BYN0610,Y,24.4,73.8,6.17,160.0,6.34
2019-06-10,15:33,haw.64overpass,HOVR0610,Y,24.8,95.5,7.92,161.3,6.19
2019-06-10,15:49,jordan.64overpass,JOVR0610,Y,28.8,109.3,8.43,202.9,7.42
2019-06-10,16:17,jordan.farringtonpoint,JFAR0610,Y,30.0,114.6,8.66,219.9,7.53
2019-06-17,10:07,eastwwtpA,EWWA0617,Y,23.0,80.7,8.92,124.7,7.21
2019-06-17,10:23,eastwwtpB,EWWB0617,Y,22.9,103.5,8.89,130.2,7.34
2019-06-17,10:43,southwwtp,SWW0617,Y,23.6,95.0,8.05,121.2,7.30
2019-06-17,11:09,saxapahaw,SAX0617,Y,25.6,104.0,8.51,105.5,7.33
2019-06-17,11:42,canecreekA,CCA0617,Y,21.4,48.7,4.31,73.0,6.41
2019-06-17,12:00,canecreekB,CCB0617,Y,22.0,78.3,6.84,112.8,7.05
2019-06-17,12:16,canecreekC,CCC0617,Y,22.5,62.2,5.38,109.0,7.17
2019-06-17,12:30,canecreekD,CCD0617,Y,23.9,87.1,7.34,109.0,7.37
2019-06-17,12:54,haw.canecreekconfluence,HCCC0617,Y,24.3,93.8,7.86,109.6,7.23
2019-06-17,13:19,bynum,BYN0617,Y,24.9,103.1,8.53,101.4,7.42
2019-06-17,14:01,haw.64overpass,HOVR0617,Y,26.8,108.8,8.69,98.5,7.66
2019-06-17,14:43,jordan.64overpass,JOVR0617,Y,27.9,124.6,9.77,120.3,8.65
2019-06-17,15:21,jordan.farringtonpoint,JFAR0617,Y,29.8,124.8,9.46,126.3,8.54
2019-06-24,9:57,eastwwtpA,EWWA0624,Y,24.0,95.4,8.03,172.8,7.57
2019-06-24,10:14,eastwwtpB,EWWB0624,Y,24.2,104.3,8.74,180.3,7.53
2019-06-24,10:37,southwwtp,SWW0624,Y,24.5,90.3,7.53,161.8,7.43
2019-06-24,10:59,saxapahaw,SAX0624,Y,26.7,103.9,8.33,142.5,7.34
2019-06-24,11:32,canecreekA,CCA0624,Y,21.5,61.4,5.42,78.6,6.39
2019-06-24,11:54,canecreekB,CCB0624,Y,21.8, 78.1 ,6.86,124.7,6.96
2019-06-24,12:13,canecreekC,CCC0624,Y,22.7,66.5,5.74,115.9,7.03
2019-06-24,12:27,canecreekD,CCD0624,Y,24.0,63.7,5.36,108.9,7.12
2019-06-24,13:41,haw.canecreekconfluence,HCCC0624,Y,26.2,101.4,8.20,149.8,7.26
2019-06-24,14:08,bynum,BYN0624,Y,25.8,104.0,8.46,144.2,7.39
2019-06-24,14:37,haw.64overpass,HOVR0624,Y,28.5,116.7,9.05,156.6,8.08
2019-06-24,14:54,jordan.64overpass,JOVR0624,Y,29.7,118.2,8.98,129.8,8.58
2019-06-24,15:12,jordan.farringtonpoint,JFAR0624,Y,31.0,120.9,8.97,140.8,8.66
2019-07-01,10:00,eastwwtpA,EWWA0701,Y,26.5,72.5,5.82,309.6,7.36
2019-07-01,10:16,eastwwtpB,EWWB0701,Y,26.8,113.8,9.09,321.5,8.11
2019-07-01,10:37,southwwtp,SWW0701,Y,27.9,82.7,6.48,281.4,8.52
2019-07-01,10:55,saxapahaw,SAX0701,Y,29.6,103.8,7.90,226.1,7.57
2019-07-01,11:58,canecreekA,CCA0701,Y,22.7,84.0,7.25,111.8,6.93
2019-07-01,12:16,canecreekB,CCB0701,Y,24.3,40.7,5.92,131.2,7.06
2019-07-01,12:35,canecreekC,CCC0701,Y,25.7,59.7,4.82,127.9,7.02
2019-07-01,12:51,canecreekD,CCD0701,Y,26.5,72.1,5.80,121.5,7.36
2019-07-01,13:13,haw.canecreekconfluence,HCCC0701,Y,29.2,108.5,8.31,223.6,7.81
2019-07-01,13:43,bynum,BYN0701,Y,29.9,93.0,7.03,219.5,7.99
2019-07-01,13:59,haw.64overpass,HOVR0701,Y,30.8,135.4,10.10,203.4,8.81
2019-07-01,14:15,jordan.64overpass,JOVR0701,Y,31.4,97.8,7.21,129.6,8.37
2019-07-01,14:32,jordan.farringtonpoint,JFAR0701,Y,30.1,84.2,6.36,144.0,8.01
2019-07-08,9:56,eastwwtpA,EWWA0708,Y,25.9,92.5,7.51,137.6,6.33
2019-07-08,10:13,eastwwtpB,EWWB0708,Y,26.1,92.9,7.52,129.1,7.01
2019-07-08,10:36,southwwtp,SWW0708,Y,27.4,89.9,7.11,151.7,7.23
2019-07-08,10:55,saxapahaw,SAX0708,Y,30.0,99.8,7.54,201.4,7.21
2019-07-08,11:27,canecreekA,CCA0708,Y,23.3,87.3,7.44,95.9,6.79
2019-07-08,11:41,canecreekB,CCB0708,Y,25.4,70.7,5.80,109.7,6.94
2019-07-08,11:56,canecreekC,CCC0708,Y,26.2,61.4,4.96,108.5,6.98
2019-07-08,12:08,canecreekD,CCD0708,Y,26.5,75.4,6.06,91.9,7.10
2019-07-08,13:09,haw.canecreekconfluence,HCCC0708,Y,29.4,94.6,7.22,219.2,7.34
2019-07-08,13:33,bynum,BYN0708,Y,29.8,100.8,7.64,244.0,7.64
2019-07-08,13:51,haw.64overpass,HOVR0708,Y,31.6,132.3,7.73,233.8,8.49
2019-07-08,14:13,jordan.64overpass,JOVR0708,Y,34.8,104.8,7.31,112.4,8.46
2019-07-08,14:41,jordan.farringtonpoint,JFAR0708,Y,34.1,117.2,8.26,124.9,8.71
2019-07-15,9:27,eastwwtpA,EWWA0715,y,27.4,57.5,4.55,316.3,7.44
2019-07-15,9:45,eastwwtpB,EWWB0715,y,28,93.6,7.32,327.3,7.48
2019-07-15,10:09,southwwtp,SWW0715,y,28.3,78.1,6.08,267.5,7.4
2019-07-15,10:28,saxapahaw,SAX0715,y,30.1,108.1,8.15,197.9,7.62
2019-07-15,10:55,canecreekA,CCA0715,y,23.1,85.3,7.26,99.7,6.96
2019-07-15,11:14,canecreekB,CCB0715,y,25.3,67.4,5.54,116.7,6.89
2019-07-15,11:34,canecreekC,CCC0715,y,26.1,40.7,3.29,117.7,6.86
2019-07-15,11:51,canecreekD,CCD0715,y,26.6,80.2,6.45,114.7,7.18
2019-07-15,13:06,haw.canecreekconfluence,HCCC0715,y,29.7,90,6.83,187.4,7.12
2019-07-15,13:39,bynum,BYN0715,y,31,94.2,6.99,142.3,7.31
2019-07-15,13:51,haw.64overpass,HOVR0715,y,31.3,123.6,9.13,130.9,8.29
2019-07-15,n/a,jordan.64overpass,JOVR0715,n,,,,,
2019-07-15,14:14,jordan.farringtonpoint,JFAR0715,y,33.2,103.4,7.4,132.8,8.37
