Site,Latitude,Longitude
eastwwtpA,﻿36.1025151,﻿-79.3839455
eastwwtpB,﻿36.0908638,﻿-79.3700409
southwwtp,﻿36.0180038,﻿-79.3669510
saxapahaw,﻿35.9454932,﻿-79.3219757
canecreekA,﻿35.8898845,﻿-79.4826508
canecreekB,﻿35.8896064,﻿-79.4308090
canecreekC,﻿35.9010094,﻿-79.3844604
canecreekD,﻿35.8884938,﻿-79.3484116
hawcanecreekconfluence,﻿35.8951690,﻿-79.2581177
bynum,﻿35.7757645,﻿-79.1465378
haw64overpass,﻿35.7309067,﻿-79.1073990
jordan64overpass,﻿35.7325788,﻿-79.0171051
jordanfarrington,﻿35.7992978,﻿-79.0177917
